  n  player  taxman  diff
895  173921  227039   53118
896  173921  227935   54014
897  174428  228325   53897
898  174428  229223   54795
899  175982  228568   52586
900  176210  229240   53030
901  177698  228653   50955
902  177698  229555   51857
903  177698  230458   52760
904  178150  230910   52760
905  178693  231272   52579
906  178693  232178   53485
907  179580  232198   52618
908  179580  233106   53526
909  179580  234015   54435
910  179970  234535   54565
911  180877  234539   53662
912  181333  234995   53662
913  181914  235327   53413
914  181914  236241   54327
915  182893  236177   53284
916  182893  237093   54200
917  183548  237355   53807
918  183548  238273   54725
919  184459  238281   53822
920  184459  239201   54742
921  185045  239536   54491
922  185045  240458   55413
923  185826  240600   54774
924  185474  241876   56402
925  185474  242801   57327
926  185474  243727   58253
927  185474  244654   59180
928  185938  245118   59180
929  186857  245128   58271
930  186857  246058   59201
931  186857  246989   60132
932  186857  247921   61064
933  187471  248240   60769
934  187471  249174   61703
935  188076  249504   61428
936  188076  250440   62364
937  189005  250448   61443
938  188871  251520   62649
939  189493  251837   62344
940  189493  252777   63284
941  190430  252781   62351
942  190430  253723   63293
943  191209  253887   62678
944  191681  254359   62678
945  192049  254936   62887
946  192049  255882   63833
947  192990  255888   62898
948  193622  256204   62582
949  194425  256350   61925
950  194425  257300   62875
951  195051  257625   62574
952  195051  258577   63526
953  195998  258583   62585
954  195998  259537   63539
955  196571  259919   63348
956  196571  260875   64304
957  197483  260920   63437
958  197483  261878   64395
959  198168  262152   63984
960  198600  262680   64080
961  198600  263641   65041
962  198600  264603   66003
963  198600  265566   66966
964  198600  266530   67930
965  199179  266916   67737
966  199713  267348   67635
967  200666  267362   66696
968  201150  267846   66696
969  202222  267743   65521
970  202222  268713   66491
971  203189  268717   65528
972  203237  269641   66404
973  203932  269919   65987
974  203932  270893   66961
975  203142  272658   69516
976  203630  273146   69516
977  204601  273152   68551
978  204601  274130   69529
979  205224  274486   69262
980  205758  274932   69174
981  205758  275913   70155
982  205758  276895   71137
983  206735  276901   70166
984  207227  277393   70166
985  207818  277787   69969
986  207818  278773   70955
987  208700  278878   70178
988  208700  279866   71166
989  209517  280038   70521
990  209517  281028   71511
991  210500  281036   70536
992  210500  282028   71528
993  211134  282387   71253
994  210992  283523   72531
995  211589  283921   72332
996  212253  284253   72000
997  213244  284259   71015
998  213244  285257   72013
999  213392  286108   72716
1000  213892  286608   72716
